year,round,driver_id,circuit_id,circuit_affinity_score,circuit_win_rate,circuit_podium_rate,circuit_avg_finish,circuit_visits,best_finish_at_circuit,last_finish_at_circuit,street_circuit_avg_finish,permanent_circuit_avg_finish,street_vs_perm_delta,night_race_avg_finish,high_df_circuit_avg_finish,low_df_circuit_avg_finish,high_altitude_avg_finish,clockwise_avg_finish,anti_clockwise_avg_finish,long_circuit_avg_finish,race_name,race_date,circuit_length_km,circuit_corners,circuit_drs_zones,circuit_altitude_m,circuit_type,is_street_circuit,is_night_race,is_clockwise,high_speed_ratio,circuit_abrasion,sc_frequency,avg_overtakes,races_remaining,points_available
2016,1,rosberg,albert_park,0.0,0.0,0.0,10.0,0,20,10,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Australian Grand Prix,2016-03-20,5.278,16,4,10,street,1,0,1,0.4,2,0.45,25.0,23,598
2016,1,hamilton,albert_park,0.0,0.0,0.0,10.0,0,20,10,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Australian Grand Prix,2016-03-20,5.278,16,4,10,street,1,0,1,0.4,2,0.45,25.0,23,598
2016,1,vettel,albert_park,0.0,0.0,0.0,10.0,0,20,10,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Australian Grand Prix,2016-03-20,5.278,16,4,10,street,1,0,1,0.4,2,0.45,25.0,23,598
2016,1,ricciardo,albert_park,0.0,0.0,0.0,10.0,0,20,10,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Australian Grand Prix,2016-03-20,5.278,16,4,10,street,1,0,1,0.4,2,0.45,25.0,23,598
2016,1,massa,albert_park,0.0,0.0,0.0,10.0,0,20,10,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Australian Grand Prix,2016-03-20,5.278,16,4,10,street,1,0,1,0.4,2,0.45,25.0,23,598
2016,1,grosjean,albert_park,0.0,0.0,0.0,10.0,0,20,10,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Australian Grand Prix,2016-03-20,5.278,16,4,10,street,1,0,1,0.4,2,0.45,25.0,23,598
2016,1,hulkenberg,albert_park,0.0,0.0,0.0,10.0,0,20,10,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Australian Grand Prix,2016-03-20,5.278,16,4,10,street,1,0,1,0.4,2,0.45,25.0,23,598
2016,1,bottas,albert_park,0.0,0.0,0.0,10.0,0,20,10,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Australian Grand Prix,2016-03-20,5.278,16,4,10,street,1,0,1,0.4,2,0.45,25.0,23,598
2016,1,sainz,albert_park,0.0,0.0,0.0,10.0,0,20,10,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Australian Grand Prix,2016-03-20,5.278,16,4,10,street,1,0,1,0.4,2,0.45,25.0,23,598
2016,1,max_verstappen,albert_park,0.0,0.0,0.0,10.0,0,20,10,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Australian Grand Prix,2016-03-20,5.278,16,4,10,street,1,0,1,0.4,2,0.45,25.0,23,598
