year,round,constructor_id,constructor_name,constructor_champ_pos,constructor_champ_pts,constructor_wins
2016,1,mercedes,Mercedes,1,43.0,1
2016,1,ferrari,Ferrari,2,15.0,0
2016,1,williams,Williams,3,14.0,0
2016,1,red_bull,Red Bull,4,12.0,0
2016,1,haas,Haas F1 Team,5,8.0,0
2016,1,force_india,Force India,6,6.0,0
2016,1,toro_rosso,Toro Rosso,7,3.0,0
2016,1,renault,Renault,8,0.0,0
2016,1,mclaren,McLaren,9,0.0,0
2016,1,sauber,Sauber,10,0.0,0
2016,1,manor,Manor Marussia,11,0.0,0
2016,2,mercedes,Mercedes,1,83.0,2
2016,2,ferrari,Ferrari,2,33.0,0
2016,2,red_bull,Red Bull,3,30.0,0
2016,2,williams,Williams,4,20.0,0
2016,2,haas,Haas F1 Team,5,18.0,0
2016,2,toro_rosso,Toro Rosso,6,11.0,0
2016,2,force_india,Force India,7,6.0,0
2016,2,mclaren,McLaren,8,1.0,0
2016,2,renault,Renault,9,0.0,0
2016,2,sauber,Sauber,10,0.0,0
2016,2,manor,Manor Marussia,11,0.0,0
2016,3,mercedes,Mercedes,1,114.0,3
2016,3,ferrari,Ferrari,2,61.0,0
2016,3,red_bull,Red Bull,3,57.0,0
2016,3,williams,Williams,4,29.0,0
2016,3,haas,Haas F1 Team,5,18.0,0
2016,3,toro_rosso,Toro Rosso,6,17.0,0
2016,3,force_india,Force India,7,6.0,0
2016,3,mclaren,McLaren,8,1.0,0
2016,3,renault,Renault,9,0.0,0
2016,3,sauber,Sauber,10,0.0,0
2016,3,manor,Manor Marussia,11,0.0,0
2016,4,mercedes,Mercedes,1,157.0,4
2016,4,ferrari,Ferrari,2,76.0,0
2016,4,red_bull,Red Bull,3,57.0,0
2016,4,williams,Williams,4,51.0,0
2016,4,haas,Haas F1 Team,5,22.0,0
2016,4,toro_rosso,Toro Rosso,6,17.0,0
2016,4,mclaren,McLaren,7,10.0,0
2016,4,force_india,Force India,8,8.0,0
2016,4,renault,Renault,9,6.0,0
2016,4,sauber,Sauber,10,0.0,0
2016,4,manor,Manor Marussia,11,0.0,0
2016,5,mercedes,Mercedes,1,157.0,4
2016,5,ferrari,Ferrari,2,109.0,0
2016,5,red_bull,Red Bull,3,94.0,1
2016,5,williams,Williams,4,65.0,0
2016,5,toro_rosso,Toro Rosso,5,26.0,0
2016,5,haas,Haas F1 Team,6,22.0,0
2016,5,force_india,Force India,7,14.0,0
2016,5,mclaren,McLaren,8,12.0,0
2016,5,renault,Renault,9,6.0,0
2016,5,sauber,Sauber,10,0.0,0
2016,5,manor,Manor Marussia,11,0.0,0
2016,6,mercedes,Mercedes,1,188.0,5
2016,6,ferrari,Ferrari,2,121.0,0
2016,6,red_bull,Red Bull,3,112.0,1
2016,6,williams,Williams,4,66.0,0
2016,6,force_india,Force India,5,37.0,0
2016,6,toro_rosso,Toro Rosso,6,30.0,0
2016,6,mclaren,McLaren,7,24.0,0
2016,6,haas,Haas F1 Team,8,22.0,0
2016,6,renault,Renault,9,6.0,0
2016,6,sauber,Sauber,10,0.0,0
2016,6,manor,Manor Marussia,11,0.0,0
2016,7,mercedes,Mercedes,1,223.0,6
2016,7,ferrari,Ferrari,2,147.0,0
2016,7,red_bull,Red Bull,3,130.0,1
2016,7,williams,Williams,4,81.0,0
2016,7,force_india,Force India,5,42.0,0
2016,7,toro_rosso,Toro Rosso,6,32.0,0
2016,7,mclaren,McLaren,7,24.0,0
2016,7,haas,Haas F1 Team,8,22.0,0
2016,7,renault,Renault,9,6.0,0
2016,7,sauber,Sauber,10,0.0,0
2016,7,manor,Manor Marussia,11,0.0,0
2016,8,mercedes,Mercedes,1,258.0,7
2016,8,ferrari,Ferrari,2,177.0,0
2016,8,red_bull,Red Bull,3,140.0,1
2016,8,williams,Williams,4,90.0,0
2016,8,force_india,Force India,5,59.0,0
2016,8,toro_rosso,Toro Rosso,6,32.0,0
2016,8,mclaren,McLaren,7,24.0,0
2016,8,haas,Haas F1 Team,8,22.0,0
2016,8,renault,Renault,9,6.0,0
2016,8,sauber,Sauber,10,0.0,0
2016,8,manor,Manor Marussia,11,0.0,0
2016,9,mercedes,Mercedes,1,295.0,8
2016,9,ferrari,Ferrari,2,192.0,0
2016,9,red_bull,Red Bull,3,168.0,1
2016,9,williams,Williams,4,92.0,0
2016,9,force_india,Force India,5,59.0,0
2016,9,toro_rosso,Toro Rosso,6,36.0,0
2016,9,mclaren,McLaren,7,32.0,0
2016,9,haas,Haas F1 Team,8,28.0,0
2016,9,renault,Renault,9,6.0,0
2016,9,manor,Manor Marussia,10,1.0,0
2016,9,sauber,Sauber,11,0.0,0
2016,10,mercedes,Mercedes,1,335.0,9
2016,10,ferrari,Ferrari,2,204.0,0
2016,10,red_bull,Red Bull,3,198.0,1
2016,10,williams,Williams,4,92.0,0
2016,10,force_india,Force India,5,73.0,0
2016,10,toro_rosso,Toro Rosso,6,41.0,0
2016,10,mclaren,McLaren,7,32.0,0
2016,10,haas,Haas F1 Team,8,28.0,0
2016,10,renault,Renault,9,6.0,0
2016,10,manor,Manor Marussia,10,1.0,0
2016,10,sauber,Sauber,11,0.0,0
2016,11,mercedes,Mercedes,1,378.0,10
2016,11,ferrari,Ferrari,2,224.0,0
2016,11,red_bull,Red Bull,3,223.0,1
2016,11,williams,Williams,4,94.0,0
2016,11,force_india,Force India,5,74.0,0
2016,11,toro_rosso,Toro Rosso,6,45.0,0
2016,11,mclaren,McLaren,7,38.0,0
2016,11,haas,Haas F1 Team,8,28.0,0
2016,11,renault,Renault,9,6.0,0
2016,11,manor,Manor Marussia,10,1.0,0
2016,11,sauber,Sauber,11,0.0,0
2016,12,mercedes,Mercedes,1,415.0,11
2016,12,red_bull,Red Bull,2,256.0,1
2016,12,ferrari,Ferrari,3,242.0,0
2016,12,williams,Williams,4,96.0,0
2016,12,force_india,Force India,5,81.0,0
2016,12,toro_rosso,Toro Rosso,6,45.0,0
2016,12,mclaren,McLaren,7,42.0,0
2016,12,haas,Haas F1 Team,8,28.0,0
2016,12,renault,Renault,9,6.0,0
2016,12,manor,Manor Marussia,10,1.0,0
2016,12,sauber,Sauber,11,0.0,0
2016,13,mercedes,Mercedes,1,455.0,12
2016,13,red_bull,Red Bull,2,274.0,1
2016,13,ferrari,Ferrari,3,252.0,0
2016,13,force_india,Force India,4,103.0,0
2016,13,williams,Williams,5,101.0,0
2016,13,mclaren,McLaren,6,48.0,0
2016,13,toro_rosso,Toro Rosso,7,45.0,0
2016,13,haas,Haas F1 Team,8,28.0,0
2016,13,renault,Renault,9,6.0,0
2016,13,manor,Manor Marussia,10,1.0,0
2016,13,sauber,Sauber,11,0.0,0
2016,14,mercedes,Mercedes,1,498.0,13
2016,14,red_bull,Red Bull,2,290.0,1
2016,14,ferrari,Ferrari,3,279.0,0
2016,14,williams,Williams,4,111.0,0
2016,14,force_india,Force India,5,108.0,0
2016,14,mclaren,McLaren,6,48.0,0
2016,14,toro_rosso,Toro Rosso,7,45.0,0
2016,14,haas,Haas F1 Team,8,28.0,0
2016,14,renault,Renault,9,6.0,0
2016,14,manor,Manor Marussia,10,1.0,0
2016,14,sauber,Sauber,11,0.0,0
2016,15,mercedes,Mercedes,1,538.0,14
2016,15,red_bull,Red Bull,2,316.0,1
2016,15,ferrari,Ferrari,3,301.0,0
2016,15,force_india,Force India,4,112.0,0
2016,15,williams,Williams,5,111.0,0
