year,round,event_name,session_type,Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,SpeedFL,SpeedST
2018,1,Australian Grand Prix,FP1,VAN,McLaren,1.0,,50.217,26.276,,ULTRASOFT,1.0,True,,199.0
2018,1,Australian Grand Prix,FP1,VAN,McLaren,2.0,,38.376,24.973,,ULTRASOFT,2.0,False,,194.0
2018,1,Australian Grand Prix,FP1,VAN,McLaren,3.0,104.092,40.062,25.482,38.548,SOFT,1.0,True,274.0,202.0
2018,1,Australian Grand Prix,FP1,VAN,McLaren,4.0,89.558,29.362,24.068,36.128,SOFT,2.0,True,276.0,292.0
2018,1,Australian Grand Prix,FP1,VAN,McLaren,5.0,,29.632,24.11,,SOFT,3.0,True,,293.0
2018,1,Australian Grand Prix,FP1,VAN,McLaren,6.0,120.978,57.109,25.451,38.418,SOFT,4.0,False,284.0,204.0
2018,1,Australian Grand Prix,FP1,VAN,McLaren,7.0,87.797,29.067,23.839,34.891,SOFT,5.0,False,287.0,292.0
2018,1,Australian Grand Prix,FP1,VAN,McLaren,8.0,95.9,29.041,23.842,43.017,SOFT,6.0,False,291.0,295.0
2018,1,Australian Grand Prix,FP1,VAN,McLaren,9.0,86.541,28.611,23.629,34.301,SOFT,7.0,False,293.0,302.0
2018,1,Australian Grand Prix,FP1,VAN,McLaren,10.0,96.092,32.462,26.316,37.314,SOFT,8.0,False,295.0,279.0
2018,1,Australian Grand Prix,FP1,VAN,McLaren,11.0,98.273,31.923,25.347,41.003,SOFT,9.0,False,291.0,306.0
2018,1,Australian Grand Prix,FP1,VAN,McLaren,12.0,86.482,28.723,23.47,34.289,SOFT,10.0,False,290.0,303.0
2018,1,Australian Grand Prix,FP1,VAN,McLaren,13.0,88.045,28.801,24.268,34.976,SOFT,11.0,False,291.0,302.0
2018,1,Australian Grand Prix,FP1,VAN,McLaren,14.0,148.469,35.572,28.287,84.61,SOFT,12.0,False,6.0,281.0
2018,1,Australian Grand Prix,FP1,VAN,McLaren,15.0,,34.489,26.712,,SOFT,13.0,False,,242.0
2018,1,Australian Grand Prix,FP1,RIC,Red Bull Racing,1.0,,59.606,28.389,,ULTRASOFT,1.0,True,,194.0
2018,1,Australian Grand Prix,FP1,RIC,Red Bull Racing,2.0,103.443,40.056,25.007,38.38,ULTRASOFT,2.0,False,289.0,192.0
2018,1,Australian Grand Prix,FP1,RIC,Red Bull Racing,3.0,87.608,28.934,23.395,35.279,ULTRASOFT,3.0,False,292.0,298.0
2018,1,Australian Grand Prix,FP1,RIC,Red Bull Racing,4.0,108.849,38.062,29.677,41.11,ULTRASOFT,4.0,False,291.0,280.0
2018,1,Australian Grand Prix,FP1,RIC,Red Bull Racing,5.0,86.299,28.735,23.257,34.307,ULTRASOFT,5.0,False,292.0,299.0
2018,1,Australian Grand Prix,FP1,RIC,Red Bull Racing,6.0,109.175,36.307,30.111,42.757,ULTRASOFT,6.0,False,292.0,262.0
2018,1,Australian Grand Prix,FP1,RIC,Red Bull Racing,7.0,85.462,28.37,23.073,34.019,ULTRASOFT,7.0,False,297.0,304.0
2018,1,Australian Grand Prix,FP1,RIC,Red Bull Racing,8.0,111.096,37.94,30.386,42.77,ULTRASOFT,8.0,False,295.0,225.0
