year,round,event_name,Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Stint,PitOutTime,PitInTime,TrackStatus,IsPersonalBest,SpeedI1,SpeedI2,SpeedFL,SpeedST
2018,1,Australian Grand Prix,GAS,Toro Rosso,1.0,105.06,,25.495,37.955,nan,,True,,,,,False,257.0,283.0,286.0,237.0
2018,1,Australian Grand Prix,GAS,Toro Rosso,2.0,93.372,31.357,24.825,37.19,ULTRASOFT,1.0,True,1.0,,,,True,266.0,286.0,277.0,270.0
2018,1,Australian Grand Prix,GAS,Toro Rosso,3.0,92.861,31.16,24.725,36.976,ULTRASOFT,2.0,True,1.0,,,,True,260.0,283.0,294.0,277.0
2018,1,Australian Grand Prix,GAS,Toro Rosso,4.0,92.184,30.835,24.73,36.619,ULTRASOFT,3.0,True,1.0,,,,True,264.0,283.0,294.0,296.0
2018,1,Australian Grand Prix,GAS,Toro Rosso,5.0,92.332,30.716,24.821,36.795,ULTRASOFT,4.0,True,1.0,,,21,False,266.0,283.0,283.0,295.0
2018,1,Australian Grand Prix,GAS,Toro Rosso,6.0,98.18,30.866,24.601,42.713,ULTRASOFT,5.0,True,1.0,,,2,False,262.0,283.0,277.0,284.0
2018,1,Australian Grand Prix,GAS,Toro Rosso,7.0,91.537,30.529,24.583,36.425,ULTRASOFT,6.0,True,1.0,,,21,True,265.0,275.0,278.0,284.0
2018,1,Australian Grand Prix,GAS,Toro Rosso,8.0,91.319,30.438,24.594,36.287,ULTRASOFT,7.0,True,1.0,,,1,True,264.0,274.0,280.0,272.0
2018,1,Australian Grand Prix,GAS,Toro Rosso,9.0,91.141,30.515,24.328,36.298,ULTRASOFT,8.0,True,1.0,,,12,True,263.0,276.0,278.0,280.0
2018,1,Australian Grand Prix,GAS,Toro Rosso,10.0,91.136,30.548,24.305,36.283,ULTRASOFT,9.0,True,1.0,,,1,True,264.0,279.0,279.0,282.0
2018,1,Australian Grand Prix,GAS,Toro Rosso,11.0,90.937,30.388,24.284,36.265,ULTRASOFT,10.0,True,1.0,,,1,True,266.0,278.0,277.0,280.0
2018,1,Australian Grand Prix,GAS,Toro Rosso,12.0,90.743,30.167,24.367,36.209,ULTRASOFT,11.0,True,1.0,,,1,True,266.0,284.0,278.0,282.0
2018,1,Australian Grand Prix,GAS,Toro Rosso,13.0,90.649,30.141,24.245,36.263,ULTRASOFT,12.0,True,1.0,,,1,True,266.0,278.0,278.0,282.0
2018,1,Australian Grand Prix,GAS,Toro Rosso,14.0,,30.247,24.226,,ULTRASOFT,13.0,True,1.0,,0 days 00:29:16.873000,1,False,265.0,280.0,,280.0
2018,1,Australian Grand Prix,PER,Force India,1.0,102.341,,24.934,37.81,nan,,True,,,,,False,265.0,299.0,289.0,220.0
2018,1,Australian Grand Prix,PER,Force India,2.0,92.896,31.283,24.566,37.047,ULTRASOFT,1.0,True,1.0,,,,True,267.0,297.0,285.0,252.0
