feature,importance,rank
championship_pts,0.7066139,1
gap_to_leader,0.379276,2
season_points_total,0.31541634,3
championship_pos,0.29077342,4
gap_to_p2,0.25751972,5
elo_before,0.10999958,6
quali_position,0.064944156,7
rolling_avg_pts_3,0.050809167,8
constructor_champ_pts,0.04691091,9
rolling_avg_pts_5,0.029092627,10
teammate_quali_delta,0.02773537,11
circuit_length_km,0.02174642,12
positions_gained_avg,0.02117681,13
pressure_avg_hpa,0.020540833,14
pit_avg_time_s,0.019693429,15
rolling_avg_finish_5,0.019450137,16
pit_std_time_s,0.018320173,17
finish_std_dev_10,0.018063022,18
constructor_champ_rank,0.017078536,19
street_vs_perm_delta,0.0168156,20
prior_season_final_5_pts,0.015514131,21
rolling_avg_quali_delta_5,0.015365158,22
rolling_avg_quali_pos_5,0.014587874,23
championship_trend,0.0144294165,24
races_completed,0.014088896,25
rolling_avg_pts_10,0.014072894,26
prior_season_champ_pts,0.014071792,27
circuit_avg_finish,0.013557108,28
long_circuit_avg_finish,0.013191312,29
season_wins,0.012950348,30
dry_avg_finish,0.0128544895,31
wet_vs_dry_delta,0.012808725,32
circuit_affinity_score,0.012744702,33
season_podiums,0.0125758415,34
last_finish_at_circuit,0.012493324,35
team_wet_vs_dry_delta,0.01240469,36
wins_this_season,0.012370259,37
team_dry_avg_finish,0.011978058,38
wet_positions_gained_avg,0.011919593,39
circuit_visits,0.011518838,40
constructor_avg_finish,0.010797905,41
prior_season_avg_finish,0.009795586,42
night_race_avg_finish,0.009781672,43
best_finish_at_circuit,0.009718688,44
cloudcover_avg_pct,0.009447887,45
wet_crash_rate,0.009438071,46
wet_races_count,0.008957932,47
team_wet_avg_finish,0.0088135125,48
prior_season_champ_pos,0.008510136,49
humidity_max_pct,0.008332848,50
rolling_podium_rate_5,0.008208962,51
rolling_crash_rate,0.007858836,52
permanent_circuit_avg_finish,0.0077436375,53
rolling_mech_dnf_rate,0.0075757005,54
constructor_dnf_rate,0.0072820354,55
street_circuit_avg_finish,0.007135709,56
anti_clockwise_avg_finish,0.0069998167,57
wet_avg_finish,0.0060760574,58
circuit_win_rate,0.006049559,59
humidity_avg_pct,0.0057241567,60
high_speed_ratio,0.0056763464,61
clockwise_avg_finish,0.005499797,62
windspeed_avg_kmh,0.005274617,63
winddirection_avg,0.005160182,64
air_temp_avg_c,0.0051433956,65
races_remaining,0.0050101634,66
circuit_altitude_m,0.0047778324,67
high_df_circuit_avg_finish,0.004469731,68
circuit_corners,0.004435952,69
air_temp_max_c,0.003861508,70
prior_season_dnf_rate,0.0036553135,71
windspeed_max_kmh,0.0033295373,72
rolling_dnf_rate_5,0.0029608267,73
high_altitude_avg_finish,0.0028182552,74
low_df_circuit_avg_finish,0.0028140503,75
prior_season_podium_rate,0.0027899754,76
rainfall_total_mm,0.0025576102,77
points_available,0.0024448521,78
circuit_drs_zones,0.0024185842,79
circuit_podium_rate,0.0021589408,80
avg_overtakes,0.0020577668,81
sc_frequency,0.0019107562,82
circuit_abrasion,0.0014819319,83
is_new_to_team,0.0014759643,84
prior_season_win_rate,0.001248774,85
wet_podium_rate_career,0.0012308076,86
is_street_circuit,0.001013062,87
is_clockwise,0.0009108137,88
rolling_win_rate_5,0.00071482704,89
is_night_race,0.00033829865,90
rain_flag,0.00023972322,91
can_win_title,0.0,92
track_temp_avg_c,0.0,93
wet_win_rate_career,0.0,94
strong_wind_flag,0.0,95
low_grip_flag,0.0,96
high_temp_flag,0.0,97
uv_index_max,0.0,98
track_temp_max_c,0.0,99
cold_track_flag,0.0,100
