sim_num,champion,max_points
0,antonelli,299.0
1,antonelli,331.0
2,antonelli,345.0
3,antonelli,253.0
4,antonelli,341.0
5,antonelli,365.0
6,antonelli,325.0
7,antonelli,305.0
8,antonelli,341.0
9,antonelli,349.0
10,antonelli,285.0
11,antonelli,263.0
12,antonelli,301.0
13,antonelli,265.0
14,antonelli,243.0
15,antonelli,239.0
16,antonelli,293.0
17,antonelli,293.0
18,antonelli,337.0
19,antonelli,317.0
20,antonelli,241.0
21,antonelli,287.0
22,antonelli,237.0
23,antonelli,329.0
24,antonelli,271.0
25,antonelli,253.0
26,antonelli,317.0
27,antonelli,271.0
28,antonelli,249.0
29,antonelli,345.0
30,antonelli,317.0
31,antonelli,247.0
32,antonelli,287.0
33,antonelli,341.0
34,antonelli,261.0
35,antonelli,293.0
36,antonelli,225.0
37,antonelli,323.0
38,antonelli,301.0
39,antonelli,331.0
40,antonelli,333.0
41,antonelli,217.0
42,antonelli,341.0
43,antonelli,281.0
44,antonelli,369.0
45,antonelli,377.0
46,antonelli,377.0
47,antonelli,401.0
48,antonelli,223.0
49,antonelli,439.0
50,antonelli,385.0
51,antonelli,307.0
52,antonelli,279.0
53,antonelli,311.0
54,antonelli,269.0
55,antonelli,195.0
56,antonelli,309.0
57,antonelli,333.0
58,antonelli,353.0
59,antonelli,345.0
60,antonelli,383.0
61,antonelli,309.0
62,antonelli,319.0
63,antonelli,287.0
64,antonelli,321.0
65,antonelli,357.0
66,antonelli,351.0
67,antonelli,273.0
68,antonelli,269.0
69,antonelli,319.0
70,antonelli,347.0
71,antonelli,287.0
72,antonelli,343.0
73,antonelli,269.0
74,antonelli,235.0
75,antonelli,395.0
76,antonelli,215.0
77,antonelli,321.0
78,antonelli,271.0
79,antonelli,307.0
80,antonelli,351.0
81,antonelli,299.0
82,antonelli,325.0
83,antonelli,415.0
84,antonelli,287.0
85,antonelli,241.0
86,antonelli,283.0
87,antonelli,287.0
88,antonelli,309.0
89,antonelli,343.0
90,antonelli,319.0
91,antonelli,273.0
92,antonelli,337.0
93,antonelli,427.0
94,antonelli,291.0
95,antonelli,315.0
96,antonelli,341.0
97,russell,256.0
98,antonelli,293.0
99,antonelli,307.0
100,antonelli,315.0
101,antonelli,417.0
102,antonelli,305.0
103,antonelli,211.0
104,antonelli,281.0
105,antonelli,187.0
106,antonelli,297.0
107,antonelli,361.0
108,antonelli,303.0
109,antonelli,331.0
110,antonelli,309.0
111,antonelli,313.0
112,antonelli,337.0
113,antonelli,335.0
114,antonelli,253.0
115,antonelli,413.0
116,antonelli,229.0
117,antonelli,291.0
118,antonelli,277.0
119,antonelli,347.0
120,antonelli,303.0
121,antonelli,237.0
122,antonelli,327.0
123,antonelli,459.0
124,antonelli,323.0
125,antonelli,285.0
126,antonelli,259.0
127,antonelli,241.0
128,antonelli,381.0
129,antonelli,237.0
130,antonelli,285.0
131,antonelli,353.0
132,antonelli,259.0
133,antonelli,343.0
134,antonelli,403.0
135,antonelli,251.0
136,antonelli,359.0
137,antonelli,283.0
138,antonelli,315.0
139,antonelli,353.0
140,antonelli,377.0
141,antonelli,391.0
142,antonelli,357.0
143,antonelli,319.0
144,antonelli,297.0
145,antonelli,415.0
146,antonelli,277.0
147,antonelli,241.0
148,antonelli,365.0
149,antonelli,345.0
150,antonelli,363.0
151,antonelli,341.0
152,antonelli,291.0
153,antonelli,283.0
154,antonelli,297.0
155,antonelli,247.0
156,antonelli,225.0
157,antonelli,243.0
158,antonelli,289.0
159,antonelli,449.0
160,antonelli,263.0
161,antonelli,317.0
162,antonelli,355.0
163,antonelli,317.0
164,antonelli,313.0
165,antonelli,255.0
166,antonelli,375.0
167,antonelli,367.0
168,antonelli,329.0
169,antonelli,305.0
170,antonelli,293.0
171,antonelli,279.0
172,antonelli,381.0
173,antonelli,257.0
174,antonelli,267.0
175,antonelli,259.0
176,antonelli,423.0
177,antonelli,301.0
178,antonelli,319.0
179,antonelli,311.0
180,antonelli,363.0
181,antonelli,331.0
182,antonelli,275.0
183,antonelli,333.0
184,antonelli,289.0
185,antonelli,305.0
186,antonelli,247.0
187,antonelli,379.0
188,antonelli,161.0
189,antonelli,291.0
190,antonelli,343.0
191,antonelli,307.0
192,antonelli,319.0
193,antonelli,375.0
194,antonelli,273.0
195,antonelli,299.0
196,antonelli,367.0
197,antonelli,339.0
198,antonelli,283.0
199,antonelli,297.0
200,antonelli,347.0
201,antonelli,283.0
202,antonelli,323.0
203,antonelli,269.0
204,antonelli,301.0
205,antonelli,341.0
206,antonelli,319.0
207,antonelli,303.0
208,antonelli,363.0
209,antonelli,347.0
210,antonelli,365.0
211,antonelli,307.0
212,antonelli,249.0
213,antonelli,341.0
214,antonelli,237.0
215,antonelli,345.0
216,antonelli,301.0
217,antonelli,305.0
218,antonelli,275.0
219,antonelli,219.0
220,antonelli,341.0
221,antonelli,291.0
222,antonelli,281.0
223,antonelli,331.0
224,antonelli,349.0
225,antonelli,347.0
226,antonelli,281.0
227,antonelli,353.0
228,antonelli,341.0
229,antonelli,299.0
230,antonelli,355.0
231,antonelli,271.0
232,antonelli,185.0
233,antonelli,251.0
234,antonelli,307.0
235,antonelli,239.0
236,antonelli,267.0
237,antonelli,277.0
238,antonelli,373.0
239,antonelli,277.0
240,antonelli,277.0
241,antonelli,391.0
242,antonelli,279.0
243,antonelli,265.0
244,antonelli,347.0
245,antonelli,291.0
246,antonelli,223.0
247,antonelli,363.0
248,antonelli,225.0
249,antonelli,247.0
250,antonelli,279.0
251,antonelli,307.0
252,antonelli,287.0
253,antonelli,205.0
254,antonelli,333.0
255,antonelli,275.0
256,antonelli,311.0
257,antonelli,371.0
258,antonelli,317.0
259,antonelli,411.0
260,antonelli,359.0
261,antonelli,217.0
262,antonelli,363.0
263,antonelli,325.0
264,antonelli,289.0
265,antonelli,339.0
266,antonelli,265.0
267,antonelli,349.0
268,antonelli,413.0
