year,round,race_name,driver_id,stop_number,lap,duration_s
2016,1,Australian Grand Prix,kevin_magnussen,1,1,27.831
2016,1,Australian Grand Prix,sainz,1,8,22.414
2016,1,Australian Grand Prix,nasr,1,10,22.701
2016,1,Australian Grand Prix,massa,1,11,21.55
2016,1,Australian Grand Prix,wehrlein,1,11,26.206
2016,1,Australian Grand Prix,ericsson,1,11,22.357
2016,1,Australian Grand Prix,rosberg,1,12,21.531
2016,1,Australian Grand Prix,ricciardo,1,12,22.245
2016,1,Australian Grand Prix,alonso,1,12,21.796
2016,1,Australian Grand Prix,jolyon_palmer,1,12,23.286
2016,1,Australian Grand Prix,haryanto,1,12,23.224
2016,1,Australian Grand Prix,vettel,1,13,21.339
2016,1,Australian Grand Prix,max_verstappen,1,13,22.303
2016,1,Australian Grand Prix,button,1,15,22.616
2016,1,Australian Grand Prix,raikkonen,1,16,22.508
2016,1,Australian Grand Prix,hamilton,1,16,21.94
2016,1,Australian Grand Prix,hulkenberg,1,16,22.167
2016,1,Australian Grand Prix,perez,1,16,24.719
2016,1,Australian Grand Prix,bottas,1,17,21.376
2016,1,Australian Grand Prix,kevin_magnussen,2,16,22.079
2016,1,Australian Grand Prix,vettel,2,18,
2016,1,Australian Grand Prix,rosberg,2,18,
2016,1,Australian Grand Prix,raikkonen,2,18,
2016,1,Australian Grand Prix,ricciardo,2,18,
2016,1,Australian Grand Prix,max_verstappen,2,18,
2016,1,Australian Grand Prix,sainz,2,18,
2016,1,Australian Grand Prix,hamilton,2,18,
2016,1,Australian Grand Prix,massa,2,18,
2016,1,Australian Grand Prix,grosjean,1,18,
2016,1,Australian Grand Prix,hulkenberg,2,18,
2016,1,Australian Grand Prix,bottas,2,18,
2016,1,Australian Grand Prix,jolyon_palmer,2,18,
2016,1,Australian Grand Prix,perez,2,18,
2016,1,Australian Grand Prix,ericsson,2,18,
2016,1,Australian Grand Prix,button,2,18,
2016,1,Australian Grand Prix,nasr,2,18,
2016,1,Australian Grand Prix,wehrlein,2,18,
2016,1,Australian Grand Prix,kevin_magnussen,3,17,
2016,1,Australian Grand Prix,ericsson,3,27,16.936
2016,1,Australian Grand Prix,button,3,30,21.837
2016,1,Australian Grand Prix,sainz,3,31,22.392
2016,1,Australian Grand Prix,max_verstappen,3,32,29.066
2016,1,Australian Grand Prix,wehrlein,3,32,23.895
2016,1,Australian Grand Prix,vettel,3,35,24.548
2016,1,Australian Grand Prix,ricciardo,3,42,21.981
2016,2,Bahrain Grand Prix,hulkenberg,1,1,31.931
2016,2,Bahrain Grand Prix,perez,1,2,30.326
2016,2,Bahrain Grand Prix,sainz,1,2,28.401
2016,2,Bahrain Grand Prix,ricciardo,1,6,24.541
2016,2,Bahrain Grand Prix,massa,1,7,24.093
2016,2,Bahrain Grand Prix,bottas,1,8,24.944
2016,2,Bahrain Grand Prix,gutierrez,1,8,32.793
2016,2,Bahrain Grand Prix,vandoorne,1,9,24.604
2016,2,Bahrain Grand Prix,bottas,2,9,19.369
2016,2,Bahrain Grand Prix,max_verstappen,1,10,25.81
2016,2,Bahrain Grand Prix,nasr,1,10,26.246
2016,2,Bahrain Grand Prix,grosjean,1,11,25.739
2016,2,Bahrain Grand Prix,wehrlein,1,11,26.236
2016,2,Bahrain Grand Prix,raikkonen,1,12,24.72
2016,2,Bahrain Grand Prix,kevin_magnussen,1,12,26.876
2016,2,Bahrain Grand Prix,haryanto,1,12,26.382
2016,2,Bahrain Grand Prix,rosberg,1,13,24.934
2016,2,Bahrain Grand Prix,hamilton,1,13,24.512
2016,2,Bahrain Grand Prix,ericsson,1,13,24.775
2016,2,Bahrain Grand Prix,perez,2,14,25.068
2016,2,Bahrain Grand Prix,kvyat,1,16,24.419
2016,2,Bahrain Grand Prix,hulkenberg,2,16,24.93
2016,2,Bahrain Grand Prix,sainz,2,20,34.978
2016,2,Bahrain Grand Prix,ricciardo,2,24,26.631
2016,2,Bahrain Grand Prix,kevin_magnussen,2,24,24.383
2016,2,Bahrain Grand Prix,vandoorne,2,25,24.682
2016,2,Bahrain Grand Prix,max_verstappen,2,26,25.594
2016,2,Bahrain Grand Prix,grosjean,2,27,26.151
2016,2,Bahrain Grand Prix,hamilton,2,28,25.03
2016,2,Bahrain Grand Prix,raikkonen,2,29,25.222
2016,2,Bahrain Grand Prix,massa,2,29,24.236
2016,2,Bahrain Grand Prix,ericsson,2,29,25.363
2016,2,Bahrain Grand Prix,wehrlein,2,29,25.547
2016,2,Bahrain Grand Prix,rosberg,2,30,27.226
2016,2,Bahrain Grand Prix,nasr,2,30,25.491
2016,2,Bahrain Grand Prix,haryanto,2,31,28.12
2016,2,Bahrain Grand Prix,kvyat,2,34,24.661
2016,2,Bahrain Grand Prix,bottas,3,34,26.11
2016,2,Bahrain Grand Prix,hulkenberg,3,35,24.734
2016,2,Bahrain Grand Prix,raikkonen,3,37,25.257
2016,2,Bahrain Grand Prix,perez,3,37,24.517
2016,2,Bahrain Grand Prix,kevin_magnussen,3,38,24.341
2016,2,Bahrain Grand Prix,rosberg,3,39,25.761
2016,2,Bahrain Grand Prix,grosjean,3,40,30.063
2016,2,Bahrain Grand Prix,hamilton,3,41,24.524
2016,2,Bahrain Grand Prix,vandoorne,3,41,25.316
2016,2,Bahrain Grand Prix,wehrlein,3,41,25.419
2016,2,Bahrain Grand Prix,ricciardo,3,42,24.879
2016,2,Bahrain Grand Prix,kvyat,3,44,24.224
2016,2,Bahrain Grand Prix,haryanto,3,44,25.517
2016,2,Bahrain Grand Prix,max_verstappen,3,46,25.129
2016,2,Bahrain Grand Prix,nasr,3,47,25.66
2016,2,Bahrain Grand Prix,hulkenberg,4,51,26.595
2016,3,Chinese Grand Prix,grosjean,1,1,58.563
2016,3,Chinese Grand Prix,raikkonen,1,1,31.134
2016,3,Chinese Grand Prix,hamilton,1,1,29.322
2016,3,Chinese Grand Prix,nasr,1,1,36.854
2016,3,Chinese Grand Prix,ricciardo,1,3,24.392
2016,3,Chinese Grand Prix,kvyat,1,4,24.084
2016,3,Chinese Grand Prix,perez,1,4,23.215
2016,3,Chinese Grand Prix,vettel,1,4,30.115
2016,3,Chinese Grand Prix,hulkenberg,1,4,27.683
2016,3,Chinese Grand Prix,sainz,1,4,25.754
2016,3,Chinese Grand Prix,button,1,4,24.072
2016,3,Chinese Grand Prix,bottas,1,4,22.682
2016,3,Chinese Grand Prix,max_verstappen,1,4,30.034
2016,3,Chinese Grand Prix,ericsson,1,4,23.955
2016,3,Chinese Grand Prix,kevin_magnussen,1,4,23.158
2016,3,Chinese Grand Prix,hamilton,2,5,25.179
2016,3,Chinese Grand Prix,hamilton,3,6,22.301
2016,3,Chinese Grand Prix,raikkonen,2,14,23.296
2016,3,Chinese Grand Prix,wehrlein,1,15,26.969
2016,3,Chinese Grand Prix,jolyon_palmer,1,15,22.799
2016,3,Chinese Grand Prix,alonso,1,16,22.874
2016,3,Chinese Grand Prix,vettel,2,17,22.276
2016,3,Chinese Grand Prix,hulkenberg,2,17,23.867
2016,3,Chinese Grand Prix,perez,2,18,22.485
2016,3,Chinese Grand Prix,haryanto,1,18,23.183
2016,3,Chinese Grand Prix,kvyat,2,19,22.607
2016,3,Chinese Grand Prix,massa,1,19,22.124
2016,3,Chinese Grand Prix,sainz,2,19,22.832
2016,3,Chinese Grand Prix,ricciardo,2,19,22.461
2016,3,Chinese Grand Prix,gutierrez,1,19,23.878
2016,3,Chinese Grand Prix,rosberg,1,20,22.831
2016,3,Chinese Grand Prix,max_verstappen,2,20,23.744
2016,3,Chinese Grand Prix,kevin_magnussen,2,20,23.257
2016,3,Chinese Grand Prix,grosjean,2,20,24.615
2016,3,Chinese Grand Prix,nasr,2,20,23.735
2016,3,Chinese Grand Prix,bottas,2,21,22.63
2016,3,Chinese Grand Prix,hamilton,4,21,22.626
2016,3,Chinese Grand Prix,jolyon_palmer,2,24,23.28
2016,3,Chinese Grand Prix,hulkenberg,3,26,29.57
2016,3,Chinese Grand Prix,button,2,27,23.029
2016,3,Chinese Grand Prix,wehrlein,2,27,24.104
2016,3,Chinese Grand Prix,perez,3,28,22.351
2016,3,Chinese Grand Prix,ericsson,2,28,23.563
2016,3,Chinese Grand Prix,haryanto,2,28,24.635
2016,3,Chinese Grand Prix,bottas,3,30,22.747
2016,3,Chinese Grand Prix,hamilton,5,30,22.698
2016,3,Chinese Grand Prix,massa,2,31,23.349
2016,3,Chinese Grand Prix,alonso,2,32,22.927
2016,3,Chinese Grand Prix,sainz,3,33,24.269
2016,3,Chinese Grand Prix,grosjean,3,33,23.342
2016,3,Chinese Grand Prix,gutierrez,2,34,22.963
2016,3,Chinese Grand Prix,kvyat,3,35,22.684
2016,3,Chinese Grand Prix,vettel,3,35,22.35
2016,3,Chinese Grand Prix,kevin_magnussen,3,35,22.677
2016,3,Chinese Grand Prix,rosberg,2,36,23.559
2016,3,Chinese Grand Prix,ricciardo,3,37,22.426
2016,3,Chinese Grand Prix,raikkonen,3,37,22.832
2016,3,Chinese Grand Prix,jolyon_palmer,3,38,24.099
2016,3,Chinese Grand Prix,max_verstappen,3,39,23.13
2016,3,Chinese Grand Prix,nasr,3,40,25.357
2016,3,Chinese Grand Prix,haryanto,3,40,24.369
2016,3,Chinese Grand Prix,gutierrez,3,43,23.07
2016,3,Chinese Grand Prix,wehrlein,3,43,24.274
2016,3,Chinese Grand Prix,button,3,44,22.51
2016,3,Chinese Grand Prix,grosjean,4,44,23.284
2016,3,Chinese Grand Prix,hulkenberg,4,46,22.79
2016,4,Russian Grand Prix,kvyat,1,1,41.282
2016,4,Russian Grand Prix,ricciardo,1,1,47.763
2016,4,Russian Grand Prix,ericsson,1,1,30.529
2016,4,Russian Grand Prix,perez,1,1,32.8
2016,4,Russian Grand Prix,gutierrez,1,1,40.169
2016,4,Russian Grand Prix,kvyat,2,8,38.906
2016,4,Russian Grand Prix,gutierrez,2,9,25.037
2016,4,Russian Grand Prix,sainz,1,11,30.805
2016,4,Russian Grand Prix,nasr,1,12,30.259
2016,4,Russian Grand Prix,wehrlein,1,13,31.433
2016,4,Russian Grand Prix,jolyon_palmer,1,14,30.805
2016,4,Russian Grand Prix,bottas,1,16,29.841
2016,4,Russian Grand Prix,kevin_magnussen,1,16,30.585
2016,4,Russian Grand Prix,hamilton,1,17,30.001
2016,4,Russian Grand Prix,grosjean,1,17,31.42
2016,4,Russian Grand Prix,massa,1,18,29.551
2016,4,Russian Grand Prix,raikkonen,1,20,30.498
2016,4,Russian Grand Prix,button,1,20,30.58
2016,4,Russian Grand Prix,rosberg,1,21,29.709
2016,4,Russian Grand Prix,alonso,1,21,29.751
2016,4,Russian Grand Prix,max_verstappen,1,22,30.553
2016,4,Russian Grand Prix,perez,2,27,30.4
2016,4,Russian Grand Prix,ericsson,2,28,30.433
2016,4,Russian Grand Prix,ricciardo,2,29,31.205
2016,4,Russian Grand Prix,wehrlein,2,39,57.151
2016,4,Russian Grand Prix,massa,2,46,30.065
2016,5,Spanish Grand Prix,massa,1,8,21.384
2016,5,Spanish Grand Prix,perez,1,9,22.679
2016,5,Spanish Grand Prix,kvyat,1,9,23.277
2016,5,Spanish Grand Prix,ericsson,1,9,22.84
2016,5,Spanish Grand Prix,sainz,1,10,22.874
