year,driver_id,is_rookie,is_f2_champion,team_switch,seasons_in_team,career_wins,career_podiums,career_races,preseason_champ_prob,regulation_change_mag,new_pu_generation,is_mercedes_pu,is_ferrari_pu,is_honda_pu,launch_earliness_score,prior_season_final5_pts,prior_season_final5_avg,prior_season_avg_finish,fastest_test_lap_s,test_gap_to_fastest_s,test_total_laps,test_long_run_pace_s,test_short_run_pace_s,test_laps_vs_field_pct,test_reliability_score,test_data_available
2016,rosberg,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,hamilton,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,vettel,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,ricciardo,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,massa,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,grosjean,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,hulkenberg,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,bottas,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,sainz,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,max_verstappen,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,jolyon_palmer,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,kevin_magnussen,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,perez,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,button,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,nasr,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,wehrlein,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,ericsson,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,raikkonen,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,haryanto,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,gutierrez,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,alonso,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,kvyat,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,vandoorne,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2016,ocon,1,0,0,0,0,0,0,0.001,1,1,0,0,0,0.5,0.0,10.0,10.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2017,vettel,0,0,0,1,0,7,21,0.001,2,0,0,0,0,0.5,59.0,4.2,7.29,0.0,0.0,0,0.0,0.0,0.0,0.5,0
2017,hamilton,0,0,0,1,10,17,21,0.001,2,0,0,0,0,0.5,115.0,1.4,3.76,0.0,0.0,0,0.0,0.0,0.0,0.5,0
