year,round,race_name,circuit_id,driver_id,driver_code,constructor_id,quali_position,q1_time,q2_time,q3_time
2016,1,Australian Grand Prix,albert_park,hamilton,HAM,mercedes,1,1:25.351,1:24.605,1:23.837
2016,1,Australian Grand Prix,albert_park,rosberg,ROS,mercedes,2,1:26.934,1:24.796,1:24.197
2016,1,Australian Grand Prix,albert_park,vettel,VET,ferrari,3,1:26.945,1:25.257,1:24.675
2016,1,Australian Grand Prix,albert_park,raikkonen,RAI,ferrari,4,1:26.579,1:25.615,1:25.033
2016,1,Australian Grand Prix,albert_park,max_verstappen,VER,toro_rosso,5,1:26.934,1:25.615,1:25.434
2016,1,Australian Grand Prix,albert_park,massa,MAS,williams,6,1:25.918,1:25.644,1:25.458
2016,1,Australian Grand Prix,albert_park,sainz,SAI,toro_rosso,7,1:27.057,1:25.384,1:25.582
2016,1,Australian Grand Prix,albert_park,ricciardo,RIC,red_bull,8,1:26.945,1:25.599,1:25.589
2016,1,Australian Grand Prix,albert_park,perez,PER,force_india,9,1:26.607,1:25.753,
2016,1,Australian Grand Prix,albert_park,hulkenberg,HUL,force_india,10,1:26.550,1:25.865,
2016,1,Australian Grand Prix,albert_park,bottas,BOT,williams,11,1:27.135,1:25.961,
2016,1,Australian Grand Prix,albert_park,alonso,ALO,mclaren,12,1:26.537,1:26.125,
2016,1,Australian Grand Prix,albert_park,button,BUT,mclaren,13,1:26.740,1:26.304,
2016,1,Australian Grand Prix,albert_park,jolyon_palmer,PAL,renault,14,1:27.241,1:27.601,
2016,1,Australian Grand Prix,albert_park,kevin_magnussen,MAG,renault,15,1:27.297,1:27.742,
2016,1,Australian Grand Prix,albert_park,ericsson,ERI,sauber,16,1:27.435,,
2016,1,Australian Grand Prix,albert_park,nasr,NAS,sauber,17,1:27.958,,
2016,1,Australian Grand Prix,albert_park,kvyat,KVY,red_bull,18,1:28.006,,
2016,1,Australian Grand Prix,albert_park,grosjean,GRO,haas,19,1:28.322,,
2016,1,Australian Grand Prix,albert_park,gutierrez,GUT,haas,20,1:29.606,,
2016,1,Australian Grand Prix,albert_park,haryanto,HAR,manor,21,1:29.627,,
2016,1,Australian Grand Prix,albert_park,wehrlein,WEH,manor,22,1:29.642,,
2016,2,Bahrain Grand Prix,bahrain,hamilton,HAM,mercedes,1,1:31.391,1:30.039,1:29.493
2016,2,Bahrain Grand Prix,bahrain,rosberg,ROS,mercedes,2,1:31.325,1:30.535,1:29.570
2016,2,Bahrain Grand Prix,bahrain,vettel,VET,ferrari,3,1:31.636,1:30.409,1:30.012
2016,2,Bahrain Grand Prix,bahrain,raikkonen,RAI,ferrari,4,1:31.685,1:30.559,1:30.244
2016,2,Bahrain Grand Prix,bahrain,ricciardo,RIC,red_bull,5,1:31.403,1:31.122,1:30.854
2016,2,Bahrain Grand Prix,bahrain,bottas,BOT,williams,6,1:31.672,1:30.931,1:31.153
2016,2,Bahrain Grand Prix,bahrain,massa,MAS,williams,7,1:32.045,1:31.374,1:31.155
2016,2,Bahrain Grand Prix,bahrain,hulkenberg,HUL,force_india,8,1:31.987,1:31.604,1:31.620
2016,2,Bahrain Grand Prix,bahrain,grosjean,GRO,haas,9,1:32.005,1:31.756,
2016,2,Bahrain Grand Prix,bahrain,max_verstappen,VER,toro_rosso,10,1:31.888,1:31.772,
