year,round,race_name,driver_id,driver_code,constructor_id,sprint_position,sprint_points,sprint_status
2021,10,British Grand Prix,max_verstappen,VER,red_bull,1,3.0,Finished
2021,10,British Grand Prix,hamilton,HAM,mercedes,2,2.0,Finished
2021,10,British Grand Prix,bottas,BOT,mercedes,3,1.0,Finished
2021,10,British Grand Prix,leclerc,LEC,ferrari,4,0.0,Finished
2021,10,British Grand Prix,norris,NOR,mclaren,5,0.0,Finished
2021,10,British Grand Prix,ricciardo,RIC,mclaren,6,0.0,Finished
2021,10,British Grand Prix,alonso,ALO,alpine,7,0.0,Finished
2021,10,British Grand Prix,vettel,VET,aston_martin,8,0.0,Finished
2021,10,British Grand Prix,russell,RUS,williams,9,0.0,Finished
2021,10,British Grand Prix,ocon,OCO,alpine,10,0.0,Finished
2021,10,British Grand Prix,sainz,SAI,ferrari,11,0.0,Finished
2021,10,British Grand Prix,gasly,GAS,alphatauri,12,0.0,Finished
2021,10,British Grand Prix,raikkonen,RAI,alfa,13,0.0,Finished
2021,10,British Grand Prix,stroll,STR,aston_martin,14,0.0,Finished
2021,10,British Grand Prix,giovinazzi,GIO,alfa,15,0.0,Finished
2021,10,British Grand Prix,tsunoda,TSU,alphatauri,16,0.0,Finished
2021,10,British Grand Prix,latifi,LAT,williams,17,0.0,Finished
2021,10,British Grand Prix,mick_schumacher,MSC,haas,18,0.0,Finished
2021,10,British Grand Prix,mazepin,MAZ,haas,19,0.0,Finished
2021,10,British Grand Prix,perez,PER,red_bull,20,0.0,Vibrations
2021,14,Italian Grand Prix,bottas,BOT,mercedes,1,3.0,Finished
2021,14,Italian Grand Prix,max_verstappen,VER,red_bull,2,2.0,Finished
2021,14,Italian Grand Prix,ricciardo,RIC,mclaren,3,1.0,Finished
2021,14,Italian Grand Prix,norris,NOR,mclaren,4,0.0,Finished
2021,14,Italian Grand Prix,hamilton,HAM,mercedes,5,0.0,Finished
2021,14,Italian Grand Prix,leclerc,LEC,ferrari,6,0.0,Finished
2021,14,Italian Grand Prix,sainz,SAI,ferrari,7,0.0,Finished
2021,14,Italian Grand Prix,giovinazzi,GIO,alfa,8,0.0,Finished
2021,14,Italian Grand Prix,perez,PER,red_bull,9,0.0,Finished
2021,14,Italian Grand Prix,stroll,STR,aston_martin,10,0.0,Finished
2021,14,Italian Grand Prix,alonso,ALO,alpine,11,0.0,Finished
2021,14,Italian Grand Prix,vettel,VET,aston_martin,12,0.0,Finished
2021,14,Italian Grand Prix,ocon,OCO,alpine,13,0.0,Finished
2021,14,Italian Grand Prix,latifi,LAT,williams,14,0.0,Finished
2021,14,Italian Grand Prix,russell,RUS,williams,15,0.0,Finished
2021,14,Italian Grand Prix,tsunoda,TSU,alphatauri,16,0.0,Finished
2021,14,Italian Grand Prix,mazepin,MAZ,haas,17,0.0,Finished
2021,14,Italian Grand Prix,kubica,KUB,alfa,18,0.0,Finished
2021,14,Italian Grand Prix,mick_schumacher,MSC,haas,19,0.0,Finished
2021,14,Italian Grand Prix,gasly,GAS,alphatauri,20,0.0,Accident
2021,19,São Paulo Grand Prix,bottas,BOT,mercedes,1,3.0,Finished
2021,19,São Paulo Grand Prix,max_verstappen,VER,red_bull,2,2.0,Finished
2021,19,São Paulo Grand Prix,sainz,SAI,ferrari,3,1.0,Finished
2021,19,São Paulo Grand Prix,perez,PER,red_bull,4,0.0,Finished
2021,19,São Paulo Grand Prix,hamilton,HAM,mercedes,5,0.0,Finished
2021,19,São Paulo Grand Prix,norris,NOR,mclaren,6,0.0,Finished
2021,19,São Paulo Grand Prix,leclerc,LEC,ferrari,7,0.0,Finished
2021,19,São Paulo Grand Prix,gasly,GAS,alphatauri,8,0.0,Finished
2021,19,São Paulo Grand Prix,ocon,OCO,alpine,9,0.0,Finished
2021,19,São Paulo Grand Prix,vettel,VET,aston_martin,10,0.0,Finished
2021,19,São Paulo Grand Prix,ricciardo,RIC,mclaren,11,0.0,Finished
2021,19,São Paulo Grand Prix,alonso,ALO,alpine,12,0.0,Finished
2021,19,São Paulo Grand Prix,giovinazzi,GIO,alfa,13,0.0,Finished
2021,19,São Paulo Grand Prix,stroll,STR,aston_martin,14,0.0,Finished
2021,19,São Paulo Grand Prix,tsunoda,TSU,alphatauri,15,0.0,Finished
2021,19,São Paulo Grand Prix,latifi,LAT,williams,16,0.0,Finished
2021,19,São Paulo Grand Prix,russell,RUS,williams,17,0.0,Finished
2021,19,São Paulo Grand Prix,raikkonen,RAI,alfa,18,0.0,Finished
2021,19,São Paulo Grand Prix,mick_schumacher,MSC,haas,19,0.0,Finished
2021,19,São Paulo Grand Prix,mazepin,MAZ,haas,20,0.0,Finished
2022,4,Emilia Romagna Grand Prix,max_verstappen,VER,red_bull,1,8.0,Finished
2022,4,Emilia Romagna Grand Prix,leclerc,LEC,ferrari,2,7.0,Finished
2022,4,Emilia Romagna Grand Prix,perez,PER,red_bull,3,6.0,Finished
2022,4,Emilia Romagna Grand Prix,sainz,SAI,ferrari,4,5.0,Finished
2022,4,Emilia Romagna Grand Prix,norris,NOR,mclaren,5,4.0,Finished
2022,4,Emilia Romagna Grand Prix,ricciardo,RIC,mclaren,6,3.0,Finished
2022,4,Emilia Romagna Grand Prix,bottas,BOT,alfa,7,2.0,Finished
2022,4,Emilia Romagna Grand Prix,kevin_magnussen,MAG,haas,8,1.0,Finished
2022,4,Emilia Romagna Grand Prix,alonso,ALO,alpine,9,0.0,Finished
2022,4,Emilia Romagna Grand Prix,mick_schumacher,MSC,haas,10,0.0,Finished
2022,4,Emilia Romagna Grand Prix,russell,RUS,mercedes,11,0.0,Finished
2022,4,Emilia Romagna Grand Prix,tsunoda,TSU,alphatauri,12,0.0,Finished
2022,4,Emilia Romagna Grand Prix,vettel,VET,aston_martin,13,0.0,Finished
2022,4,Emilia Romagna Grand Prix,hamilton,HAM,mercedes,14,0.0,Finished
2022,4,Emilia Romagna Grand Prix,stroll,STR,aston_martin,15,0.0,Finished
2022,4,Emilia Romagna Grand Prix,ocon,OCO,alpine,16,0.0,Finished
2022,4,Emilia Romagna Grand Prix,gasly,GAS,alphatauri,17,0.0,Finished
2022,4,Emilia Romagna Grand Prix,albon,ALB,williams,18,0.0,Finished
2022,4,Emilia Romagna Grand Prix,latifi,LAT,williams,19,0.0,Finished
2022,4,Emilia Romagna Grand Prix,zhou,ZHO,alfa,20,0.0,Retired
2022,11,Austrian Grand Prix,max_verstappen,VER,red_bull,1,8.0,Finished
2022,11,Austrian Grand Prix,leclerc,LEC,ferrari,2,7.0,Finished
2022,11,Austrian Grand Prix,sainz,SAI,ferrari,3,6.0,Finished
2022,11,Austrian Grand Prix,russell,RUS,mercedes,4,5.0,Finished
2022,11,Austrian Grand Prix,perez,PER,red_bull,5,4.0,Finished
2022,11,Austrian Grand Prix,ocon,OCO,alpine,6,3.0,Finished
2022,11,Austrian Grand Prix,kevin_magnussen,MAG,haas,7,2.0,Finished
2022,11,Austrian Grand Prix,hamilton,HAM,mercedes,8,1.0,Finished
2022,11,Austrian Grand Prix,mick_schumacher,MSC,haas,9,0.0,Finished
2022,11,Austrian Grand Prix,bottas,BOT,alfa,10,0.0,Finished
2022,11,Austrian Grand Prix,norris,NOR,mclaren,11,0.0,Finished
2022,11,Austrian Grand Prix,ricciardo,RIC,mclaren,12,0.0,Finished
2022,11,Austrian Grand Prix,stroll,STR,aston_martin,13,0.0,Finished
2022,11,Austrian Grand Prix,zhou,ZHO,alfa,14,0.0,Finished
2022,11,Austrian Grand Prix,gasly,GAS,alphatauri,15,0.0,Finished
2022,11,Austrian Grand Prix,albon,ALB,williams,16,0.0,Finished
2022,11,Austrian Grand Prix,tsunoda,TSU,alphatauri,17,0.0,Finished
2022,11,Austrian Grand Prix,latifi,LAT,williams,18,0.0,Finished
2022,11,Austrian Grand Prix,vettel,VET,aston_martin,19,0.0,Collision damage
2022,11,Austrian Grand Prix,alonso,ALO,alpine,20,0.0,Electrical
2022,21,São Paulo Grand Prix,russell,RUS,mercedes,1,8.0,Finished
2022,21,São Paulo Grand Prix,sainz,SAI,ferrari,2,7.0,Finished
2022,21,São Paulo Grand Prix,hamilton,HAM,mercedes,3,6.0,Finished
2022,21,São Paulo Grand Prix,max_verstappen,VER,red_bull,4,5.0,Finished
2022,21,São Paulo Grand Prix,perez,PER,red_bull,5,4.0,Finished
2022,21,São Paulo Grand Prix,leclerc,LEC,ferrari,6,3.0,Finished
2022,21,São Paulo Grand Prix,norris,NOR,mclaren,7,2.0,Finished
2022,21,São Paulo Grand Prix,kevin_magnussen,MAG,haas,8,1.0,Finished
2022,21,São Paulo Grand Prix,vettel,VET,aston_martin,9,0.0,Finished
2022,21,São Paulo Grand Prix,gasly,GAS,alphatauri,10,0.0,Finished
2022,21,São Paulo Grand Prix,ricciardo,RIC,mclaren,11,0.0,Finished
