circuit_id,circuit_name,race_date,air_temp_avg_c,air_temp_max_c,track_temp_avg_c,track_temp_max_c,humidity_avg_pct,humidity_max_pct,rainfall_total_mm,rain_flag,cloudcover_avg_pct,windspeed_avg_kmh,windspeed_max_kmh,winddirection_avg,pressure_avg_hpa,uv_index_max
albert_park,Albert Park Grand Prix Circuit,2016-03-20,19.91,21.2,,,48.75,62.0,0.0,0,22.5,10.7,17.3,172.12,1018.8,
bahrain,Bahrain International Circuit,2016-04-03,21.89,22.3,,,49.62,54.0,0.0,0,46.0,10.25,13.6,71.88,1015.66,
shanghai,Shanghai International Circuit,2016-04-17,18.74,21.0,,,52.62,70.0,0.0,0,92.75,11.24,13.2,62.12,1014.82,
catalunya,Circuit de Barcelona-Catalunya,2016-05-15,18.19,19.2,,,77.0,88.0,0.0,0,34.5,11.51,14.1,147.88,1003.26,
albert_park,Albert Park Grand Prix Circuit,2017-03-26,22.52,23.7,,,77.12,93.0,0.0,0,57.88,9.24,11.6,194.5,1011.91,
shanghai,Shanghai International Circuit,2017-04-09,12.34,12.9,,,69.88,81.0,0.1,0,100.0,17.12,18.5,27.75,1011.76,
bahrain,Bahrain International Circuit,2017-04-16,26.44,29.0,,,57.38,71.0,0.0,0,34.62,35.67,41.1,337.62,1008.38,
catalunya,Circuit de Barcelona-Catalunya,2017-05-14,21.51,23.5,,,52.75,72.0,0.0,0,34.75,8.05,13.7,137.5,1009.55,
albert_park,Albert Park Grand Prix Circuit,2018-03-25,21.5,23.4,,,42.0,56.0,0.8,1,63.62,25.08,28.3,292.5,999.59,
bahrain,Bahrain International Circuit,2018-04-08,28.95,31.6,,,41.12,58.0,0.0,0,16.38,17.2,22.5,50.62,1008.94,
shanghai,Shanghai International Circuit,2018-04-15,15.95,18.3,,,45.12,68.0,0.0,0,4.88,11.05,15.2,233.62,1018.6,
baku,Baku City Circuit,2018-04-29,15.0,16.9,,,59.0,66.0,0.0,0,87.38,38.86,42.9,179.88,1021.75,
catalunya,Circuit de Barcelona-Catalunya,2018-05-13,14.32,15.2,,,64.5,73.0,4.0,1,42.88,14.45,17.3,113.0,1001.09,
albert_park,Albert Park Grand Prix Circuit,2019-03-17,23.34,25.0,,,63.5,84.0,0.0,0,1.25,13.01,15.2,204.25,1015.64,
bahrain,Bahrain International Circuit,2019-03-31,27.4,29.8,,,48.5,55.0,0.0,0,87.12,35.33,39.5,92.88,1005.05,
shanghai,Shanghai International Circuit,2019-04-14,15.9,18.7,,,62.62,86.0,0.0,0,84.38,14.89,20.6,24.25,1019.41,
baku,Baku City Circuit,2019-04-28,16.3,17.5,,,75.62,83.0,0.0,0,20.38,21.78,28.2,196.0,1013.25,
catalunya,Circuit de Barcelona-Catalunya,2019-05-12,18.01,20.6,,,61.38,74.0,0.0,0,3.25,12.08,22.3,165.0,1006.64,
red_bull_ring,Red Bull Ring,2020-07-05,24.39,26.6,,,54.88,83.0,0.0,0,46.0,5.35,8.9,107.25,939.96,
red_bull_ring,Red Bull Ring,2020-07-12,17.65,19.6,,,48.75,64.0,0.0,0,54.12,8.15,11.5,79.12,946.2,
hungaroring,Hungaroring,2020-07-19,19.46,20.5,,,80.75,90.0,2.5,1,91.62,10.88,15.8,62.62,986.05,
silverstone,Silverstone Circuit,2020-08-02,20.02,21.0,,,44.62,52.0,0.0,0,89.38,14.7,18.0,275.38,997.29,
silverstone,Silverstone Circuit,2020-08-09,25.36,27.7,,,62.38,76.0,0.0,0,40.5,14.22,16.9,50.0,999.55,
bahrain,Bahrain International Circuit,2021-03-28,21.35,23.0,,,50.38,58.0,0.0,0,0.0,38.02,43.0,333.75,1014.8,
imola,Autodromo Enzo e Dino Ferrari,2021-04-18,10.52,13.0,,,58.88,84.0,0.1,0,56.38,10.44,15.6,57.12,1011.32,
catalunya,Circuit de Barcelona-Catalunya,2021-05-09,20.03,21.8,,,68.25,91.0,0.1,0,85.12,10.09,12.8,110.0,993.0,
monaco,Circuit de Monaco,2021-05-23,19.5,21.3,,,62.38,73.0,0.0,0,97.12,10.69,17.9,95.75,1013.6,
bahrain,Bahrain International Circuit,2022-03-20,24.19,28.5,,,30.25,49.0,0.0,0,0.0,20.71,26.0,346.25,1010.82,
jeddah,Jeddah Corniche Circuit,2022-03-27,29.01,31.2,,,36.62,56.0,0.0,0,0.0,21.86,25.2,307.62,1011.71,
albert_park,Albert Park Grand Prix Circuit,2022-04-10,24.88,26.5,,,48.5,57.0,0.0,0,72.62,18.31,26.9,295.25,1015.51,
imola,Autodromo Enzo e Dino Ferrari,2022-04-24,13.24,14.2,,,72.62,81.0,1.2,1,78.25,10.49,17.0,203.12,1000.91,
